file	disposition	layer	package	n_toplevel	foreign_cffi	ext_libs	qualified_refs(APPROX;unqualified/dynamic=UNKNOWN)	kinds
corpus-eu-links.lisp	EXTEND	§4.5	orchestrator.corpus-eu-links	13	no	cl-ppcre	UNKNOWN-none-qualified	defparameter:2,defun:11
corpus-fingerprint.lisp	EXTEND	§4.14	orchestrator.fingerprint	27	no	uiop	orchestrator.hash-authority,orchestrator.merkle,orchestrator.safe-read	defun:27
corpus-intelligence.lisp	REUSE	§4.3	orchestrator.intelligence	20	no	closer-mop	orchestrator.spec	defclass:2,defgeneric:3,define-corpus-check:4,defmacro:1,defmethod:2,defstruct:1,defun:7
corpus-provenance.lisp	EXTEND	§4.2	orchestrator.corpus-provenance	9	no	local-time	UNKNOWN-none-qualified	defun:9
corpus-search.lisp	REUSE	§4.12	orchestrator.corpus-search	8	no	-	UNKNOWN-none-qualified	defparameter:1,defun:7
corpus-service.lisp	REUSE	§4.15	orchestrator.corpus-service	41	no	closer-mop,uiop	UNKNOWN-none-qualified	defclass:4,defgeneric:1,define-condition:4,define-representation:5,defmacro:1,defmethod:2,defparameter:3,defun:21
corpus-sparql.lisp	REUSE	§4.11	orchestrator.corpus-sparql	9	no	cl-ppcre	UNKNOWN-none-qualified	defparameter:4,defun:5
deliberation.lisp	EXTEND	L6	orchestrator.deliberation	22	no	-	UNKNOWN-none-qualified	defclass:7,defgeneric:1,defmacro:1,defmethod:7,defun:3,defvar:3
deterministic-time.lisp	REUSE	§4.10	orchestrator.time	13	no	local-time,uiop	UNKNOWN-none-qualified	defparameter:3,defun:10
document-fetch.lisp	REUSE	§4.2, §4.4	orchestrator.document-fetch	23	no	uiop	UNKNOWN-none-qualified	defparameter:2,defun:20,defvar:1
embeddings-authority.lisp	EXTEND	PLANE-3	orchestrator.embeddings-authority	28	no	cl-ppcre,drakma,jonathan,uiop	UNKNOWN-none-qualified	define-condition:3,defun:20,defvar:5
eu-interop-layer.lisp	EXTEND	§4.11	orchestrator.eu-interop	44	no	babel,cl-ppcre,drakma,jonathan,uiop	orchestrator.hash-authority,orchestrator.time	defclass:4,defmethod:1,defparameter:8,defun:31
execution-trace.lisp	REUSE	L1	orchestrator.trace	23	no	-	UNKNOWN-none-qualified	defmacro:1,defparameter:1,defun:14,defvar:7
fluid-induction.lisp	REUSE	L5	orchestrator.fluid	34	no	-	UNKNOWN-none-qualified	defparameter:1,defun:33
generation.lisp	EXTEND	§4.12	orchestrator.generation	17	no	-	orchestrator.citation-authority,orchestrator.knowledge-packs	defparameter:3,defun:14
government-source.lisp	EXTEND	§4.1, §4.2	orchestrator.gov-source	40	no	cl-ppcre,drakma,uiop	orchestrator.engine.sbcl	defparameter:9,defun:31
graph-reasoning.lisp	EXTEND	§4.8	orchestrator.graph-reason	3	no	-	orchestrator.graph	defun:3
greek-legislation-ontology.lisp	EXTEND	§4.3, §4.11	orchestrator.legal-ontology	48	no	-	UNKNOWN-none-qualified	defclass:1,defconcept:33,defmacro:1,defparameter:1,defun:11,defvar:1
greek-lemmatizer.lisp	REUSE	§4.3 (symbolic NLP)	orchestrator.citation-authority	34	no	uiop	UNKNOWN-none-qualified	defparameter:13,defun:20,defvar:1
greek-nlp-core.lisp	REUSE	§4.3	orchestrator.greek-nlp	67	no	-	orchestrator.safe-read	defclass:11,defgeneric:6,define-condition:4,defmacro:2,defmethod:14,defun:27,defvar:3
greek-tokenizer-advanced.lisp	REUSE	§4.3	orchestrator.greek-tokenizer	45	no	-	orchestrator.journal,orchestrator.safe-read	defclass:1,defgeneric:1,define-condition:3,defmacro:1,defmethod:4,defparameter:4,defstruct:1,defun:27,defvar:3
guard-metaeval.lisp	REUSE	L4	orchestrator.metaeval	45	no	-	orchestrator.trace	defparameter:1,defun:36,defvar:8
guard-ops-pack.lisp	REUSE	L4	orchestrator.metaeval	0	no	-	orchestrator.knowledge-packs	-
hash-authority.lisp	EXTEND	§4.10	orchestrator.hash-authority	2	no	babel,ironclad	UNKNOWN-none-qualified	defun:2
http-server.lisp	REUSE	§4.12	orchestrator.http	20	no	babel,bordeaux-threads,uiop,usocket	UNKNOWN-none-qualified	defclass:1,defmacro:1,defparameter:4,defstruct:2,defun:12
ingestion-daemon.lisp	EXTEND	§4.1	orchestrator.ingestion.daemon	7	no	uiop	orchestrator.paths	defparameter:1,defun:6
injection.lisp	REUSE	—	orchestrator.injection	26	no	-	orchestrator.logging,orchestrator.paths	defclass:1,defconstant:2,defmacro:1,defstruct:1,deftype:1,defun:19,defvar:1
institution.lisp	REUSE	CORE	orchestrator.institution	8	no	-	UNKNOWN-none-qualified	defun:6,defvar:2
introspection.lisp	REUSE	L9	orchestrator.introspection	5	no	-	orchestrator.deliberation,orchestrator.proposals	defun:4,defvar:1
journal.lisp	REUSE	L1, §4.5	orchestrator.journal	33	no	ironclad,uiop	UNKNOWN-none-qualified	defconstant:1,define-condition:5,defmacro:1,defun:21,defvar:5
json-emit.lisp	REUSE	§4.10	orchestrator.json-emit	5	no	-	orchestrator.spec	defun:5
